"Date","Price","Open","High","Low","Change %"
"04/01/2023","11.496","11.496","11.496","11.496","8.10%"
"03/31/2023","10.635","11.049","13.197","10.635","10.89%"
"03/30/2023","9.591","9.893","10.361","9.591","-1.54%"
"03/29/2023","9.741","9.735","9.929","9.735","-1.52%"
"03/28/2023","9.891","9.798","9.950","9.565","3.20%"
"03/27/2023","9.584","9.319","9.797","9.128","117.72%"
"03/26/2023","4.402","4.402","4.402","4.402","-45.79%"
"03/24/2023","8.120","8.542","8.120","8.120","-7.42%"
"03/23/2023","8.771","8.866","8.771","8.771","6.66%"
"03/22/2023","8.223","8.223","8.223","8.223","-2.06%"
"03/21/2023","8.396","13.832","8.396","8.396","2.13%"
"03/20/2023","8.221","8.370","8.221","8.221","-1,102.56%"
"03/19/2023","-0.820","-0.820","-0.820","-0.820","-110.76%"
"03/18/2023","7.618","7.618","7.618","7.618","0.00%"
"03/17/2023","7.618","8.193","9.154","7.613","-2.23%"
"03/16/2023","7.792","8.260","8.644","7.788","4.16%"
"03/15/2023","7.481","8.532","7.956","7.481","-6.84%"
"03/14/2023","8.030","8.030","8.530","7.740","6.44%"
"03/13/2023","7.544","8.680","7.836","7.544","84.77%"
"03/12/2023","4.083","4.083","4.083","4.083","-47.77%"
"03/11/2023","7.818","7.908","7.908","7.818","0.00%"
"03/10/2023","7.818","8.152","7.818","7.818","-0.87%"
"03/09/2023","7.887","7.874","7.887","7.887","4.71%"
"03/08/2023","7.532","7.764","7.532","7.532","-0.62%"
"03/07/2023","7.579","8.037","7.579","7.579","-6.63%"
"03/06/2023","8.117","6.492","8.117","8.117","191.66%"
"03/05/2023","2.783","7.783","7.783","2.783","-64.24%"
"03/04/2023","7.783","7.783","7.783","7.783","-0.41%"
"03/03/2023","7.815","8.143","8.143","7.439","6.08%"
"03/02/2023","7.367","8.245","8.379","7.367","-5.49%"
"03/01/2023","7.795","8.310","8.409","7.988","-2.77%"
"02/28/2023","8.017","8.191","8.396","8.017","4.21%"
"02/27/2023","7.693","8.419","8.419","7.661","-0.85%"
"02/23/2023","7.759","7.759","7.387","7.387","8.47%"
"02/22/2023","7.153","7.153","7.153","7.153","-7.28%"
"02/21/2023","7.715","7.715","7.715","7.715","-6.94%"
"02/20/2023","8.290","8.268","8.266","8.266","-2.37%"
"02/19/2023","8.491","8.491","8.491","8.491","-0.05%"
"02/18/2023","8.495","8.495","8.495","8.495","-0.01%"
"02/17/2023","8.496","8.639","9.607","8.496","-0.34%"
"02/16/2023","8.525","9.636","9.774","8.525","-3.85%"
"02/15/2023","8.866","9.475","9.634","8.866","-5.68%"
"02/14/2023","9.400","9.072","9.400","8.855","6.15%"
"02/13/2023","8.855","9.656","8.911","8.855","-3.19%"
"02/12/2023","9.147","9.147","9.147","9.147","0.01%"
"02/11/2023","9.146","9.146","9.146","9.146","3.04%"
"02/10/2023","8.876","9.205","8.876","8.876","-0.25%"
